@@@COMP|motion|ARGS=[special]
Component Pins:
Owner   Type  Dir                 Value  Name
    13  float OUT                     0  axis.c.teleop-vel-cmd
    13  float OUT                     0  axis.c.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.c.wheel-jog-active
    13  float OUT                     0  axis.u.eoffset
    13  bit   IN                  FALSE  axis.u.eoffset-clear
    13  s32   IN                      0  axis.u.eoffset-counts
    13  bit   IN                  FALSE  axis.u.eoffset-enable
    13  float OUT                     0  axis.u.eoffset-request
    13  float IN                      0  axis.u.eoffset-scale
    13  float IN                      1  axis.u.jog-accel-fraction
    13  s32   IN                      0  axis.u.jog-counts
    13  bit   IN                  FALSE  axis.u.jog-enable
    13  float IN                      0  axis.u.jog-scale
    13  bit   IN                  FALSE  axis.u.jog-vel-mode
    13  bit   OUT                 FALSE  axis.u.kb-jog-active
    13  float OUT                     0  axis.u.pos-cmd
    13  float OUT                     0  axis.u.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.u.teleop-tp-enable
    13  float OUT                     0  axis.u.teleop-vel-cmd
    13  float OUT                     0  axis.u.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.u.wheel-jog-active
    13  float OUT                     0  axis.v.eoffset
    13  bit   IN                  FALSE  axis.v.eoffset-clear
    13  s32   IN                      0  axis.v.eoffset-counts
    13  bit   IN                  FALSE  axis.v.eoffset-enable
    13  float OUT                     0  axis.v.eoffset-request
    13  float IN                      0  axis.v.eoffset-scale
    13  float IN                      1  axis.v.jog-accel-fraction
    13  s32   IN                      0  axis.v.jog-counts
    13  bit   IN                  FALSE  axis.v.jog-enable
    13  float IN                      0  axis.v.jog-scale
    13  bit   IN                  FALSE  axis.v.jog-vel-mode
    13  bit   OUT                 FALSE  axis.v.kb-jog-active
    13  float OUT                     0  axis.v.pos-cmd
    13  float OUT                     0  axis.v.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.v.teleop-tp-enable
    13  float OUT                     0  axis.v.teleop-vel-cmd
    13  float OUT                     0  axis.v.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.v.wheel-jog-active
    13  float OUT                     0  axis.w.eoffset
    13  bit   IN                  FALSE  axis.w.eoffset-clear
    13  s32   IN                      0  axis.w.eoffset-counts
    13  bit   IN                  FALSE  axis.w.eoffset-enable
    13  float OUT                     0  axis.w.eoffset-request
    13  float IN                      0  axis.w.eoffset-scale
    13  float IN                      1  axis.w.jog-accel-fraction
    13  s32   IN                      0  axis.w.jog-counts
    13  bit   IN                  FALSE  axis.w.jog-enable
    13  float IN                      0  axis.w.jog-scale
    13  bit   IN                  FALSE  axis.w.jog-vel-mode
    13  bit   OUT                 FALSE  axis.w.kb-jog-active
    13  float OUT                     0  axis.w.pos-cmd
    13  float OUT                     0  axis.w.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.w.teleop-tp-enable
    13  float OUT                     0  axis.w.teleop-vel-cmd
    13  float OUT                     0  axis.w.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.w.wheel-jog-active
    13  float OUT                     0  axis.x.eoffset
    13  bit   IN                  FALSE  axis.x.eoffset-clear
    13  s32   IN                      0  axis.x.eoffset-counts
    13  bit   IN                  FALSE  axis.x.eoffset-enable
    13  float OUT                     0  axis.x.eoffset-request
    13  float IN                      0  axis.x.eoffset-scale
    13  float IN                      1  axis.x.jog-accel-fraction
    13  s32   IN                      0  axis.x.jog-counts
    13  bit   IN                  FALSE  axis.x.jog-enable
    13  float IN                      0  axis.x.jog-scale
    13  bit   IN                  FALSE  axis.x.jog-vel-mode
    13  bit   OUT                 FALSE  axis.x.kb-jog-active
    13  float OUT                     0  axis.x.pos-cmd
    13  float OUT                     0  axis.x.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.x.teleop-tp-enable
    13  float OUT                     0  axis.x.teleop-vel-cmd
    13  float OUT                     0  axis.x.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.x.wheel-jog-active
    13  float OUT                     0  axis.y.eoffset
    13  bit   IN                  FALSE  axis.y.eoffset-clear
    13  s32   IN                      0  axis.y.eoffset-counts
    13  bit   IN                  FALSE  axis.y.eoffset-enable
    13  float OUT                     0  axis.y.eoffset-request
    13  float IN                      0  axis.y.eoffset-scale
    13  float IN                      1  axis.y.jog-accel-fraction
    13  s32   IN                      0  axis.y.jog-counts
    13  bit   IN                  FALSE  axis.y.jog-enable
    13  float IN                      0  axis.y.jog-scale
    13  bit   IN                  FALSE  axis.y.jog-vel-mode
    13  bit   OUT                 FALSE  axis.y.kb-jog-active
    13  float OUT                     0  axis.y.pos-cmd
    13  float OUT                     0  axis.y.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.y.teleop-tp-enable
    13  float OUT                     0  axis.y.teleop-vel-cmd
    13  float OUT                     0  axis.y.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.y.wheel-jog-active
    13  float OUT                     0  axis.z.eoffset
    13  bit   IN                  FALSE  axis.z.eoffset-clear
    13  s32   IN                      0  axis.z.eoffset-counts
    13  bit   IN                  FALSE  axis.z.eoffset-enable
    13  float OUT                     0  axis.z.eoffset-request
    13  float IN                      0  axis.z.eoffset-scale
    13  float IN                      1  axis.z.jog-accel-fraction
    13  s32   IN                      0  axis.z.jog-counts
    13  bit   IN                  FALSE  axis.z.jog-enable
    13  float IN                      0  axis.z.jog-scale
    13  bit   IN                  FALSE  axis.z.jog-vel-mode
    13  bit   OUT                 FALSE  axis.z.kb-jog-active
    13  float OUT                     0  axis.z.pos-cmd
    13  float OUT                     0  axis.z.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.z.teleop-tp-enable
    13  float OUT                     0  axis.z.teleop-vel-cmd
    13  float OUT                     0  axis.z.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.z.wheel-jog-active
    14  s32   OUT                     0  base-thread.time
    13  float OUT                     0  joint.0.acc-cmd
    13  bit   OUT                 FALSE  joint.0.active
    13  bit   OUT                 FALSE  joint.0.amp-enable-out
    13  bit   IN                  FALSE  joint.0.amp-fault-in
    13  float OUT                     0  joint.0.backlash-corr
    13  float OUT                     0  joint.0.backlash-filt
    13  float OUT                     0  joint.0.backlash-vel
    13  float OUT                     0  joint.0.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.0.error
    13  float OUT                     0  joint.0.f-error
    13  float OUT                     0  joint.0.f-error-lim
    13  bit   OUT                 FALSE  joint.0.f-errored
    13  bit   OUT                 FALSE  joint.0.faulted
    13  float OUT                     0  joint.0.free-pos-cmd
    13  bit   OUT                 FALSE  joint.0.free-tp-enable
    13  float OUT                     0  joint.0.free-vel-lim
    13  s32   OUT                     0  joint.0.home-state
    13  bit   IN                  FALSE  joint.0.home-sw-in
    13  bit   OUT                 FALSE  joint.0.homed
    13  bit   OUT                 FALSE  joint.0.homing
    13  bit   OUT                 FALSE  joint.0.in-position
    13  bit   I/O                 FALSE  joint.0.index-enable
    13  float OUT                     0  joint.0.jerk-cmd
    13  float IN                      1  joint.0.jog-accel-fraction
    13  s32   IN                      0  joint.0.jog-counts
    13  bit   IN                  FALSE  joint.0.jog-enable
    13  float IN                      0  joint.0.jog-scale
    13  bit   IN                  FALSE  joint.0.jog-vel-mode
    13  bit   OUT                 FALSE  joint.0.kb-jog-active
    13  float OUT                     0  joint.0.motor-offset
    13  float OUT                     0  joint.0.motor-pos-cmd
    13  float IN                      0  joint.0.motor-pos-fb
    13  bit   OUT                 FALSE  joint.0.neg-hard-limit
    13  bit   IN                  FALSE  joint.0.neg-lim-sw-in
    13  float OUT                     0  joint.0.pos-cmd
    13  float OUT                     0  joint.0.pos-fb
    13  bit   OUT                 FALSE  joint.0.pos-hard-limit
    13  bit   IN                  FALSE  joint.0.pos-lim-sw-in
    13  float OUT                     0  joint.0.vel-cmd
    13  bit   OUT                 FALSE  joint.0.wheel-jog-active
    13  float OUT                     0  joint.1.acc-cmd
    13  bit   OUT                 FALSE  joint.1.active
    13  bit   OUT                 FALSE  joint.1.amp-enable-out
    13  bit   IN                  FALSE  joint.1.amp-fault-in
    13  float OUT                     0  joint.1.backlash-corr
    13  float OUT                     0  joint.1.backlash-filt
    13  float OUT                     0  joint.1.backlash-vel
    13  float OUT                     0  joint.1.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.1.error
    13  float OUT                     0  joint.1.f-error
    13  float OUT                     0  joint.1.f-error-lim
    13  bit   OUT                 FALSE  joint.1.f-errored
    13  bit   OUT                 FALSE  joint.1.faulted
    13  float OUT                     0  joint.1.free-pos-cmd
    13  bit   OUT                 FALSE  joint.1.free-tp-enable
    13  float OUT                     0  joint.1.free-vel-lim
    13  s32   OUT                     0  joint.1.home-state
    13  bit   IN                  FALSE  joint.1.home-sw-in
    13  bit   OUT                 FALSE  joint.1.homed
    13  bit   OUT                 FALSE  joint.1.homing
    13  bit   OUT                 FALSE  joint.1.in-position
    13  bit   I/O                 FALSE  joint.1.index-enable
    13  float OUT                     0  joint.1.jerk-cmd
    13  float IN                      1  joint.1.jog-accel-fraction
    13  s32   IN                      0  joint.1.jog-counts
    13  bit   IN                  FALSE  joint.1.jog-enable
    13  float IN                      0  joint.1.jog-scale
    13  bit   IN                  FALSE  joint.1.jog-vel-mode
    13  bit   OUT                 FALSE  joint.1.kb-jog-active
    13  float OUT                     0  joint.1.motor-offset
    13  float OUT                     0  joint.1.motor-pos-cmd
    13  float IN                      0  joint.1.motor-pos-fb
    13  bit   OUT                 FALSE  joint.1.neg-hard-limit
    13  bit   IN                  FALSE  joint.1.neg-lim-sw-in
    13  float OUT                     0  joint.1.pos-cmd
    13  float OUT                     0  joint.1.pos-fb
    13  bit   OUT                 FALSE  joint.1.pos-hard-limit
    13  bit   IN                  FALSE  joint.1.pos-lim-sw-in
    13  float OUT                     0  joint.1.vel-cmd
    13  bit   OUT                 FALSE  joint.1.wheel-jog-active
    13  float OUT                     0  joint.2.acc-cmd
    13  bit   OUT                 FALSE  joint.2.active
    13  bit   OUT                 FALSE  joint.2.amp-enable-out
    13  bit   IN                  FALSE  joint.2.amp-fault-in
    13  float OUT                     0  joint.2.backlash-corr
    13  float OUT                     0  joint.2.backlash-filt
    13  float OUT                     0  joint.2.backlash-vel
    13  float OUT                     0  joint.2.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.2.error
    13  float OUT                     0  joint.2.f-error
    13  float OUT                     0  joint.2.f-error-lim
    13  bit   OUT                 FALSE  joint.2.f-errored
    13  bit   OUT                 FALSE  joint.2.faulted
    13  float OUT                     0  joint.2.free-pos-cmd
    13  bit   OUT                 FALSE  joint.2.free-tp-enable
    13  float OUT                     0  joint.2.free-vel-lim
    13  s32   OUT                     0  joint.2.home-state
    13  bit   IN                  FALSE  joint.2.home-sw-in
    13  bit   OUT                 FALSE  joint.2.homed
    13  bit   OUT                 FALSE  joint.2.homing
    13  bit   OUT                 FALSE  joint.2.in-position
    13  bit   I/O                 FALSE  joint.2.index-enable
    13  float OUT                     0  joint.2.jerk-cmd
    13  float IN                      1  joint.2.jog-accel-fraction
    13  s32   IN                      0  joint.2.jog-counts
    13  bit   IN                  FALSE  joint.2.jog-enable
    13  float IN                      0  joint.2.jog-scale
    13  bit   IN                  FALSE  joint.2.jog-vel-mode
    13  bit   OUT                 FALSE  joint.2.kb-jog-active
    13  float OUT                     0  joint.2.motor-offset
    13  float OUT                     0  joint.2.motor-pos-cmd
    13  float IN                      0  joint.2.motor-pos-fb
    13  bit   OUT                 FALSE  joint.2.neg-hard-limit
    13  bit   IN                  FALSE  joint.2.neg-lim-sw-in
    13  float OUT                     0  joint.2.pos-cmd
    13  float OUT                     0  joint.2.pos-fb
    13  bit   OUT                 FALSE  joint.2.pos-hard-limit
    13  bit   IN                  FALSE  joint.2.pos-lim-sw-in
    13  float OUT                     0  joint.2.vel-cmd
    13  bit   OUT                 FALSE  joint.2.wheel-jog-active
    13  float OUT                     0  joint.3.acc-cmd
    13  bit   OUT                 FALSE  joint.3.active
    13  bit   OUT                 FALSE  joint.3.amp-enable-out
    13  bit   IN                  FALSE  joint.3.amp-fault-in
    13  float OUT                     0  joint.3.backlash-corr
    13  float OUT                     0  joint.3.backlash-filt
    13  float OUT                     0  joint.3.backlash-vel
    13  float OUT                     0  joint.3.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.3.error
    13  float OUT                     0  joint.3.f-error
    13  float OUT                     0  joint.3.f-error-lim
    13  bit   OUT                 FALSE  joint.3.f-errored
    13  bit   OUT                 FALSE  joint.3.faulted
    13  float OUT                     0  joint.3.free-pos-cmd
    13  bit   OUT                 FALSE  joint.3.free-tp-enable
    13  float OUT                     0  joint.3.free-vel-lim
    13  s32   OUT                     0  joint.3.home-state
    13  bit   IN                  FALSE  joint.3.home-sw-in
    13  bit   OUT                 FALSE  joint.3.homed
    13  bit   OUT                 FALSE  joint.3.homing
    13  bit   OUT                 FALSE  joint.3.in-position
    13  bit   I/O                 FALSE  joint.3.index-enable
    13  float OUT                     0  joint.3.jerk-cmd
    13  float IN                      1  joint.3.jog-accel-fraction
    13  s32   IN                      0  joint.3.jog-counts
    13  bit   IN                  FALSE  joint.3.jog-enable
    13  float IN                      0  joint.3.jog-scale
    13  bit   IN                  FALSE  joint.3.jog-vel-mode
    13  bit   OUT                 FALSE  joint.3.kb-jog-active
    13  float OUT                     0  joint.3.motor-offset
    13  float OUT                     0  joint.3.motor-pos-cmd
    13  float IN                      0  joint.3.motor-pos-fb
    13  bit   OUT                 FALSE  joint.3.neg-hard-limit
    13  bit   IN                  FALSE  joint.3.neg-lim-sw-in
    13  float OUT                     0  joint.3.pos-cmd
    13  float OUT                     0  joint.3.pos-fb
    13  bit   OUT                 FALSE  joint.3.pos-hard-limit
    13  bit   IN                  FALSE  joint.3.pos-lim-sw-in
    13  float OUT                     0  joint.3.vel-cmd
    13  bit   OUT                 FALSE  joint.3.wheel-jog-active
    13  float OUT                     0  joint.4.acc-cmd
    13  bit   OUT                 FALSE  joint.4.active
    13  bit   OUT                 FALSE  joint.4.amp-enable-out
    13  bit   IN                  FALSE  joint.4.amp-fault-in
    13  float OUT                     0  joint.4.backlash-corr
    13  float OUT                     0  joint.4.backlash-filt
    13  float OUT                     0  joint.4.backlash-vel
    13  float OUT                     0  joint.4.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.4.error
    13  float OUT                     0  joint.4.f-error
    13  float OUT                     0  joint.4.f-error-lim
    13  bit   OUT                 FALSE  joint.4.f-errored
    13  bit   OUT                 FALSE  joint.4.faulted
    13  float OUT                     0  joint.4.free-pos-cmd
    13  bit   OUT                 FALSE  joint.4.free-tp-enable
    13  float OUT                     0  joint.4.free-vel-lim
    13  s32   OUT                     0  joint.4.home-state
    13  bit   IN                  FALSE  joint.4.home-sw-in
    13  bit   OUT                 FALSE  joint.4.homed
    13  bit   OUT                 FALSE  joint.4.homing
    13  bit   OUT                 FALSE  joint.4.in-position
    13  bit   I/O                 FALSE  joint.4.index-enable
    13  float OUT                     0  joint.4.jerk-cmd
    13  float IN                      1  joint.4.jog-accel-fraction
    13  s32   IN                      0  joint.4.jog-counts
    13  bit   IN                  FALSE  joint.4.jog-enable
    13  float IN                      0  joint.4.jog-scale
    13  bit   IN                  FALSE  joint.4.jog-vel-mode
    13  bit   OUT                 FALSE  joint.4.kb-jog-active
    13  float OUT                     0  joint.4.motor-offset
    13  float OUT                     0  joint.4.motor-pos-cmd
    13  float IN                      0  joint.4.motor-pos-fb
    13  bit   OUT                 FALSE  joint.4.neg-hard-limit
    13  bit   IN                  FALSE  joint.4.neg-lim-sw-in
    13  float OUT                     0  joint.4.pos-cmd
    13  float OUT                     0  joint.4.pos-fb
    13  bit   OUT                 FALSE  joint.4.pos-hard-limit
    13  bit   IN                  FALSE  joint.4.pos-lim-sw-in
    13  float OUT                     0  joint.4.vel-cmd
    13  bit   OUT                 FALSE  joint.4.wheel-jog-active
    13  float OUT                     0  joint.5.acc-cmd
    13  bit   OUT                 FALSE  joint.5.active
    13  bit   OUT                 FALSE  joint.5.amp-enable-out
    13  bit   IN                  FALSE  joint.5.amp-fault-in
    13  float OUT                     0  joint.5.backlash-corr
    13  float OUT                     0  joint.5.backlash-filt
    13  float OUT                     0  joint.5.backlash-vel
    13  float OUT                     0  joint.5.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.5.error
    13  float OUT                     0  joint.5.f-error
    13  float OUT                     0  joint.5.f-error-lim
    13  bit   OUT                 FALSE  joint.5.f-errored
    13  bit   OUT                 FALSE  joint.5.faulted
    13  float OUT                     0  joint.5.free-pos-cmd
    13  bit   OUT                 FALSE  joint.5.free-tp-enable
    13  float OUT                     0  joint.5.free-vel-lim
    13  s32   OUT                     0  joint.5.home-state
    13  bit   IN                  FALSE  joint.5.home-sw-in
    13  bit   OUT                 FALSE  joint.5.homed
    13  bit   OUT                 FALSE  joint.5.homing
    13  bit   OUT                 FALSE  joint.5.in-position
    13  bit   I/O                 FALSE  joint.5.index-enable
    13  float OUT                     0  joint.5.jerk-cmd
    13  float IN                      1  joint.5.jog-accel-fraction
    13  s32   IN                      0  joint.5.jog-counts
    13  bit   IN                  FALSE  joint.5.jog-enable
    13  float IN                      0  joint.5.jog-scale
    13  bit   IN                  FALSE  joint.5.jog-vel-mode
    13  bit   OUT                 FALSE  joint.5.kb-jog-active
    13  float OUT                     0  joint.5.motor-offset
    13  float OUT                     0  joint.5.motor-pos-cmd
    13  float IN                      0  joint.5.motor-pos-fb
    13  bit   OUT                 FALSE  joint.5.neg-hard-limit
    13  bit   IN                  FALSE  joint.5.neg-lim-sw-in
    13  float OUT                     0  joint.5.pos-cmd
    13  float OUT                     0  joint.5.pos-fb
    13  bit   OUT                 FALSE  joint.5.pos-hard-limit
    13  bit   IN                  FALSE  joint.5.pos-lim-sw-in
    13  float OUT                     0  joint.5.vel-cmd
    13  bit   OUT                 FALSE  joint.5.wheel-jog-active
    13  float OUT                     0  joint.6.acc-cmd
    13  bit   OUT                 FALSE  joint.6.active
    13  bit   OUT                 FALSE  joint.6.amp-enable-out
    13  bit   IN                  FALSE  joint.6.amp-fault-in
    13  float OUT                     0  joint.6.backlash-corr
    13  float OUT                     0  joint.6.backlash-filt
    13  float OUT                     0  joint.6.backlash-vel
    13  float OUT                     0  joint.6.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.6.error
    13  float OUT                     0  joint.6.f-error
    13  float OUT                     0  joint.6.f-error-lim
    13  bit   OUT                 FALSE  joint.6.f-errored
    13  bit   OUT                 FALSE  joint.6.faulted
    13  float OUT                     0  joint.6.free-pos-cmd
    13  bit   OUT                 FALSE  joint.6.free-tp-enable
    13  float OUT                     0  joint.6.free-vel-lim
    13  s32   OUT                     0  joint.6.home-state
    13  bit   IN                  FALSE  joint.6.home-sw-in
    13  bit   OUT                 FALSE  joint.6.homed
    13  bit   OUT                 FALSE  joint.6.homing
    13  bit   OUT                 FALSE  joint.6.in-position
    13  bit   I/O                 FALSE  joint.6.index-enable
    13  float OUT                     0  joint.6.jerk-cmd
    13  float IN                      1  joint.6.jog-accel-fraction
    13  s32   IN                      0  joint.6.jog-counts
    13  bit   IN                  FALSE  joint.6.jog-enable
    13  float IN                      0  joint.6.jog-scale
    13  bit   IN                  FALSE  joint.6.jog-vel-mode
    13  bit   OUT                 FALSE  joint.6.kb-jog-active
    13  float OUT                     0  joint.6.motor-offset
    13  float OUT                     0  joint.6.motor-pos-cmd
    13  float IN                      0  joint.6.motor-pos-fb
    13  bit   OUT                 FALSE  joint.6.neg-hard-limit
    13  bit   IN                  FALSE  joint.6.neg-lim-sw-in
    13  float OUT                     0  joint.6.pos-cmd
    13  float OUT                     0  joint.6.pos-fb
    13  bit   OUT                 FALSE  joint.6.pos-hard-limit
    13  bit   IN                  FALSE  joint.6.pos-lim-sw-in
    13  float OUT                     0  joint.6.vel-cmd
    13  bit   OUT                 FALSE  joint.6.wheel-jog-active
    13  float OUT                     0  joint.7.acc-cmd
    13  bit   OUT                 FALSE  joint.7.active
    13  bit   OUT                 FALSE  joint.7.amp-enable-out
    13  bit   IN                  FALSE  joint.7.amp-fault-in
    13  float OUT                     0  joint.7.backlash-corr
    13  float OUT                     0  joint.7.backlash-filt
    13  float OUT                     0  joint.7.backlash-vel
    13  float OUT                     0  joint.7.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.7.error
    13  float OUT                     0  joint.7.f-error
    13  float OUT                     0  joint.7.f-error-lim
    13  bit   OUT                 FALSE  joint.7.f-errored
    13  bit   OUT                 FALSE  joint.7.faulted
    13  float OUT                     0  joint.7.free-pos-cmd
    13  bit   OUT                 FALSE  joint.7.free-tp-enable
    13  float OUT                     0  joint.7.free-vel-lim
    13  s32   OUT                     0  joint.7.home-state
    13  bit   IN                  FALSE  joint.7.home-sw-in
    13  bit   OUT                 FALSE  joint.7.homed
    13  bit   OUT                 FALSE  joint.7.homing
    13  bit   OUT                 FALSE  joint.7.in-position
    13  bit   I/O                 FALSE  joint.7.index-enable
    13  float OUT                     0  joint.7.jerk-cmd
    13  float IN                      1  joint.7.jog-accel-fraction
    13  s32   IN                      0  joint.7.jog-counts
    13  bit   IN                  FALSE  joint.7.jog-enable
    13  float IN                      0  joint.7.jog-scale
    13  bit   IN                  FALSE  joint.7.jog-vel-mode
    13  bit   OUT                 FALSE  joint.7.kb-jog-active
    13  float OUT                     0  joint.7.motor-offset
    13  float OUT                     0  joint.7.motor-pos-cmd
    13  float IN                      0  joint.7.motor-pos-fb
    13  bit   OUT                 FALSE  joint.7.neg-hard-limit
    13  bit   IN                  FALSE  joint.7.neg-lim-sw-in
    13  float OUT                     0  joint.7.pos-cmd
    13  float OUT                     0  joint.7.pos-fb
    13  bit   OUT                 FALSE  joint.7.pos-hard-limit
    13  bit   IN                  FALSE  joint.7.pos-lim-sw-in
    13  float OUT                     0  joint.7.vel-cmd
    13  bit   OUT                 FALSE  joint.7.wheel-jog-active
    13  float OUT                     0  joint.8.acc-cmd
    13  bit   OUT                 FALSE  joint.8.active
    13  bit   OUT                 FALSE  joint.8.amp-enable-out
    13  bit   IN                  FALSE  joint.8.amp-fault-in
    13  float OUT                     0  joint.8.backlash-corr
    13  float OUT                     0  joint.8.backlash-filt
    13  float OUT                     0  joint.8.backlash-vel
    13  float OUT                     0  joint.8.coarse-pos-cmd
    13  bit   OUT                 FALSE  joint.8.error
    13  float OUT                     0  joint.8.f-error
    13  float OUT                     0  joint.8.f-error-lim
    13  bit   OUT                 FALSE  joint.8.f-errored
    13  bit   OUT                 FALSE  joint.8.faulted
    13  float OUT                     0  joint.8.free-pos-cmd
    13  bit   OUT                 FALSE  joint.8.free-tp-enable
    13  float OUT                     0  joint.8.free-vel-lim
    13  s32   OUT                     0  joint.8.home-state
    13  bit   IN                  FALSE  joint.8.home-sw-in
    13  bit   OUT                 FALSE  joint.8.homed
    13  bit   OUT                 FALSE  joint.8.homing
    13  bit   OUT                 FALSE  joint.8.in-position
    13  bit   I/O                 FALSE  joint.8.index-enable
    13  float OUT                     0  joint.8.jerk-cmd
    13  float IN                      1  joint.8.jog-accel-fraction
    13  s32   IN                      0  joint.8.jog-counts
    13  bit   IN                  FALSE  joint.8.jog-enable
    13  float IN                      0  joint.8.jog-scale
    13  bit   IN                  FALSE  joint.8.jog-vel-mode
    13  bit   OUT                 FALSE  joint.8.kb-jog-active
    13  float OUT                     0  joint.8.motor-offset
    13  float OUT                     0  joint.8.motor-pos-cmd
    13  float IN                      0  joint.8.motor-pos-fb
    13  bit   OUT                 FALSE  joint.8.neg-hard-limit
    13  bit   IN                  FALSE  joint.8.neg-lim-sw-in
    13  float OUT                     0  joint.8.pos-cmd
    13  float OUT                     0  joint.8.pos-fb
    13  bit   OUT                 FALSE  joint.8.pos-hard-limit
    13  bit   IN                  FALSE  joint.8.pos-lim-sw-in
    13  float OUT                     0  joint.8.vel-cmd
    13  bit   OUT                 FALSE  joint.8.wheel-jog-active
    13  s32   OUT                     0  motion-command-handler.time
    13  s32   OUT                     0  motion-controller.time
    13  float IN                      1  motion.adaptive-feed
    13  float IN                      0  motion.analog-in-00
    13  float IN                      0  motion.analog-in-01
    13  float IN                      0  motion.analog-in-02
    13  float IN                      0  motion.analog-in-03
    13  float OUT                     0  motion.analog-out-00
    13  float OUT                     0  motion.analog-out-01
    13  float OUT                     0  motion.analog-out-02
    13  float OUT                     0  motion.analog-out-03
    13  bit   OUT                 FALSE  motion.coord-error
    13  bit   OUT                 FALSE  motion.coord-mode
    13  float OUT                     0  motion.current-vel
    13  bit   IN                  FALSE  motion.digital-in-00
    13  bit   IN                  FALSE  motion.digital-in-01
    13  bit   IN                  FALSE  motion.digital-in-02
    13  bit   IN                  FALSE  motion.digital-in-03
    13  bit   OUT                 FALSE  motion.digital-out-00
    13  bit   OUT                 FALSE  motion.digital-out-01
    13  bit   OUT                 FALSE  motion.digital-out-02
    13  bit   OUT                 FALSE  motion.digital-out-03
    13  float OUT                     0  motion.distance-to-go
    13  bit   IN                   TRUE  motion.enable
    13  bit   OUT                 FALSE  motion.eoffset-active
    13  bit   OUT                 FALSE  motion.eoffset-limited
